"","Site","Cover","Year","AssSub","Gluc","Oxal","Glyc","AssTemp","LatN","LongE","Biome","MAT","MAP","MAT2","MAP2","MT3","MT2","MT1","Sand","Silt","Clay","Cper","Nper","Resp","SIR","pH","Hion","WHC","Moist","TotPLFA","SITE","COVER","YEAR","LogResp"
"126","KBS","forest",2010,"Oxalic","0","1",0,20,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,59.2,33.6,7.2,2.87,0.19,0.77,1.24,5.84,1.45,0.4418,16.61,71.88,"KBS","forest","2010",-0.261364764134408
"127","KNZ","herb",2010,"Oxalic","0","1",0,20,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,18.4,49.8,31.8,3.05,0.27,0.41,1.9,7.13,0.07,0.4988,22.93,84.98,"KNZ","herb","2010",-0.891598119283784
"128","KNZ","forest",2010,"Oxalic","0","1",0,20,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,64.2,23.2,12.6,10.46,0.82,0.62,3.28,8.13,0.01,0.5813,27.05,245,"KNZ","forest","2010",-0.478035800943
"129","LUQ","herb",2010,"Oxalic","0","1",0,20,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,26.6,31.4,42,4.58,0.38,0.33,1.07,5.13,7.41,1.123,38.96,77.72,"LUQ","herb","2010",-1.10866262452161
"130","LUQ","forest",2010,"Oxalic","0","1",0,20,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,24,31.8,44.2,6.1,0.45,0.61,1.89,4.97,10.72,1.5935,44.58,146.04,"LUQ","forest","2010",-0.49429632181478
"131","NWT","herb",2010,"Oxalic","0","1",0,20,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,62,31.6,6.4,8.16,0.71,0.64,1.17,5.21,6.17,0.8897,33.02,204.98,"NWT","herb","2010",-0.446287102628419
"133","AND","herb",2010,"Glycine","0","0",1,20,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,71.8,26.8,1.4,10.1,0.77,0.92,1.83,5.46,3.47,0.9546,40.6,223.61,"AND","herb","2010",-0.083381608939051
"134","AND","forest",2010,"Glycine","0","0",1,20,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,79.8,18.2,1.8,12.58,0.47,1.07,2.05,5.36,4.37,1.3935,45.05,272.04,"AND","forest","2010",0.0676586484738149
"135","BNZ","herb",2010,"Glycine","0","0",1,20,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,NA,NA,NA,10.18,0.64,1.03,2.43,5.56,2.75,1.0536,35.23,379.03,"BNZ","herb","2010",0.0295588022415444
"136","BNZ","forest",2010,"Glycine","0","0",1,20,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,23.8,68.4,7.8,5.16,0.31,2.2,4.41,5.8,1.58,0.6343,17.75,123.73,"BNZ","forest","2010",0.78845736036427
"137","CDR","herb",2010,"Glycine","0","0",1,20,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,93.8,5.6,0.6,0.88,0.08,0.17,0.58,6.02,0.95,0.1758,5.3,17.99,"CDR","herb","2010",-1.77195684193188
"138","CDR","forest",2010,"Glycine","0","0",1,20,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,91.4,5.8,2.8,1.9,0.14,0.26,0.73,4.86,13.8,0.2672,10.8,49.09,"CDR","forest","2010",-1.34707364796661
"139","CWT","herb",2010,"Glycine","0","0",1,20,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,71.2,25,3.8,2.58,0.2,0.34,1.16,5.49,3.24,0.5895,28.76,103.07,"CWT","herb","2010",-1.07880966137193
"140","CWT","forest",2010,"Glycine","0","0",1,20,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,63.8,26.4,9.8,7.61,0.37,1.02,2.13,4.63,23.44,1.1632,37.16,207.06,"CWT","forest","2010",0.0198026272961797
"141","HBR","herb",2010,"Glycine","0","0",1,20,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,79.4,16.8,3.8,5.19,0.36,0.53,1.24,5,10,0.5746,24.58,186.1,"HBR","herb","2010",-0.63487827243597
"142","HBR","forest",2010,"Glycine","0","0",1,20,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,93.2,4,2.8,15.53,0.84,1.93,15.93,4.18,66.07,1.8601,55.36,500.86,"HBR","forest","2010",0.657520002916794
"143","HETF","herb",2010,"Glycine","0","0",1,20,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,95.4,0.8,3.8,10.4,0.7,0.35,1.53,5.79,1.62,1.3132,49,161.34,"HETF","herb","2010",-1.04982212449868
"144","HETF","forest",2010,"Glycine","0","0",1,20,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,73.4,23.8,2.8,15.02,1.12,1.39,3.52,4.38,41.69,2.1481,56.98,465.68,"HETF","forest","2010",0.3293037471426
"145","HFR","herb",2010,"Glycine","0","0",1,20,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,65.2,28.8,6,2.81,0.22,0.33,1.04,7.42,0.04,0.392,21.13,46.06,"HFR","herb","2010",-1.10866262452161
"146","HFR","forest",2010,"Glycine","0","0",1,20,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,NA,NA,NA,20.83,1.04,3.73,31.81,4.04,91.2,2.7487,56.11,494.13,"HFR","forest","2010",1.31640823365572
"147","KBS","herb",2010,"Glycine","0","0",1,20,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,38.2,52,9.8,3.44,0.29,0.98,2.09,6.31,0.49,0.5357,20.37,174.83,"KBS","herb","2010",-0.0202027073175195
"148","KBS","forest",2010,"Glycine","0","0",1,20,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,59.2,33.6,7.2,2.87,0.19,0.66,1.24,5.84,1.45,0.4418,16.61,71.88,"KBS","forest","2010",-0.415515443961666
"149","KNZ","herb",2010,"Glycine","0","0",1,20,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,18.4,49.8,31.8,3.05,0.27,0.37,1.9,7.13,0.07,0.4988,22.93,84.98,"KNZ","herb","2010",-0.994252273343867
"150","KNZ","forest",2010,"Glycine","0","0",1,20,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,64.2,23.2,12.6,10.46,0.82,1.3,3.28,8.13,0.01,0.5813,27.05,245,"KNZ","forest","2010",0.262364264467491
"151","LUQ","herb",2010,"Glycine","0","0",1,20,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,26.6,31.4,42,4.58,0.38,0.47,1.07,5.13,7.41,1.123,38.96,77.72,"LUQ","herb","2010",-0.755022584278033
"152","LUQ","forest",2010,"Glycine","0","0",1,20,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,24,31.8,44.2,6.1,0.45,0.68,1.89,4.97,10.72,1.5935,44.58,146.04,"LUQ","forest","2010",-0.385662480811985
"153","NWT","herb",2010,"Glycine","0","0",1,20,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,62,31.6,6.4,8.16,0.71,0.42,1.17,5.21,6.17,0.8897,33.02,204.98,"NWT","herb","2010",-0.867500567704723
"154","NWT","forest",2010,"Glycine","0","0",1,20,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,46.8,38,15.2,14.2,0.89,7.64,16.68,5.16,6.92,1.4333,25.06,228.75,"NWT","forest","2010",2.03339760317843
"177","AND","herb",2010,"Glucose","1","0",0,28,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,71.8,26.8,1.4,10.1,0.77,1.57,1.83,5.46,3.47,0.9546,40.6,223.61,"AND","herb","2010",0.451075619360217
"178","AND","forest",2010,"Glucose","1","0",0,28,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,79.8,18.2,1.8,12.58,0.47,1.62,2.05,5.36,4.37,1.3935,45.05,272.04,"AND","forest","2010",0.482426149244293
"179","BNZ","herb",2010,"Glucose","1","0",0,28,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,NA,NA,NA,10.18,0.64,3.3,2.43,5.56,2.75,1.0536,35.23,379.03,"BNZ","herb","2010",1.19392246847243
"180","BNZ","forest",2010,"Glucose","1","0",0,28,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,23.8,68.4,7.8,5.16,0.31,3.15,4.41,5.8,1.58,0.6343,17.75,123.73,"BNZ","forest","2010",1.14740245283754
"181","CDR","herb",2010,"Glucose","1","0",0,28,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,93.8,5.6,0.6,0.88,0.08,0.56,0.58,6.02,0.95,0.1758,5.3,17.99,"CDR","herb","2010",-0.579818495252942
"182","CDR","forest",2010,"Glucose","1","0",0,28,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,91.4,5.8,2.8,1.9,0.14,0.69,0.73,4.86,13.8,0.2672,10.8,49.09,"CDR","forest","2010",-0.371063681390832
"183","CWT","herb",2010,"Glucose","1","0",0,28,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,71.2,25,3.8,2.58,0.2,0.61,1.16,5.49,3.24,0.5895,28.76,103.07,"CWT","herb","2010",-0.49429632181478
"184","CWT","forest",2010,"Glucose","1","0",0,28,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,63.8,26.4,9.8,7.61,0.37,1.26,2.13,4.63,23.44,1.1632,37.16,207.06,"CWT","forest","2010",0.231111720963387
"185","HBR","herb",2010,"Glucose","1","0",0,28,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,79.4,16.8,3.8,5.19,0.36,1.03,1.24,5,10,0.5746,24.58,186.1,"HBR","herb","2010",0.0295588022415444
"186","HBR","forest",2010,"Glucose","1","0",0,28,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,93.2,4,2.8,15.53,0.84,2.91,15.93,4.18,66.07,1.8601,55.36,500.86,"HBR","forest","2010",1.0681530811834
"187","HETF","herb",2010,"Glucose","1","0",0,28,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,95.4,0.8,3.8,10.4,0.7,0.81,1.53,5.79,1.62,1.3132,49,161.34,"HETF","herb","2010",-0.210721031315653
"188","HETF","forest",2010,"Glucose","1","0",0,28,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,73.4,23.8,2.8,15.02,1.12,2.74,3.52,4.38,41.69,2.1481,56.98,465.68,"HETF","forest","2010",1.00795792039998
"189","HFR","herb",2010,"Glucose","1","0",0,28,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,65.2,28.8,6,2.81,0.22,0.45,1.04,7.42,0.04,0.392,21.13,46.06,"HFR","herb","2010",-0.798507696217772
"190","HFR","forest",2010,"Glucose","1","0",0,28,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,NA,NA,NA,20.83,1.04,6.17,31.81,4.04,91.2,2.7487,56.11,494.13,"HFR","forest","2010",1.8196988379173
"191","KBS","herb",2010,"Glucose","1","0",0,28,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,38.2,52,9.8,3.44,0.29,2.1,2.09,6.31,0.49,0.5357,20.37,174.83,"KBS","herb","2010",0.741937344729377
"192","KBS","forest",2010,"Glucose","1","0",0,28,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,59.2,33.6,7.2,2.87,0.19,1.23,1.24,5.84,1.45,0.4418,16.61,71.88,"KBS","forest","2010",0.207014169384326
"193","KNZ","herb",2010,"Glucose","1","0",0,28,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,18.4,49.8,31.8,3.05,0.27,0.81,1.9,7.13,0.07,0.4988,22.93,84.98,"KNZ","herb","2010",-0.210721031315653
"194","KNZ","forest",2010,"Glucose","1","0",0,28,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,64.2,23.2,12.6,10.46,0.82,1.7,3.28,8.13,0.01,0.5813,27.05,245,"KNZ","forest","2010",0.53062825106217
"195","LUQ","herb",2010,"Glucose","1","0",0,28,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,26.6,31.4,42,4.58,0.38,0.8,1.07,5.13,7.41,1.123,38.96,77.72,"LUQ","herb","2010",-0.22314355131421
"196","LUQ","forest",2010,"Glucose","1","0",0,28,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,24,31.8,44.2,6.1,0.45,1.2,1.89,4.97,10.72,1.5935,44.58,146.04,"LUQ","forest","2010",0.182321556793955
"197","NWT","herb",2010,"Glucose","1","0",0,28,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,62,31.6,6.4,8.16,0.71,1.74,1.17,5.21,6.17,0.8897,33.02,204.98,"NWT","herb","2010",0.553885113226438
"198","NWT","forest",2010,"Glucose","1","0",0,28,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,46.8,38,15.2,14.2,0.89,10.18,16.68,5.16,6.92,1.4333,25.06,228.75,"NWT","forest","2010",2.32042501112238
"199","AND","herb",2010,"Oxalic","0","1",0,28,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,71.8,26.8,1.4,10.1,0.77,0.96,1.83,5.46,3.47,0.9546,40.6,223.61,"AND","herb","2010",-0.0408219945202552
"200","AND","forest",2010,"Oxalic","0","1",0,28,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,79.8,18.2,1.8,12.58,0.47,1.24,2.05,5.36,4.37,1.3935,45.05,272.04,"AND","forest","2010",0.215111379616945
"201","BNZ","herb",2010,"Oxalic","0","1",0,28,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,NA,NA,NA,10.18,0.64,3.47,2.43,5.56,2.75,1.0536,35.23,379.03,"BNZ","herb","2010",1.24415459395877
"202","BNZ","forest",2010,"Oxalic","0","1",0,28,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,23.8,68.4,7.8,5.16,0.31,1.36,4.41,5.8,1.58,0.6343,17.75,123.73,"BNZ","forest","2010",0.307484699747961
"203","CDR","herb",2010,"Oxalic","0","1",0,28,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,93.8,5.6,0.6,0.88,0.08,0.33,0.58,6.02,0.95,0.1758,5.3,17.99,"CDR","herb","2010",-1.10866262452161
"204","CDR","forest",2010,"Oxalic","0","1",0,28,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,91.4,5.8,2.8,1.9,0.14,0.61,0.73,4.86,13.8,0.2672,10.8,49.09,"CDR","forest","2010",-0.49429632181478
"205","CWT","herb",2010,"Oxalic","0","1",0,28,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,71.2,25,3.8,2.58,0.2,0.43,1.16,5.49,3.24,0.5895,28.76,103.07,"CWT","herb","2010",-0.843970070294529
"206","CWT","forest",2010,"Oxalic","0","1",0,28,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,63.8,26.4,9.8,7.61,0.37,1.46,2.13,4.63,23.44,1.1632,37.16,207.06,"CWT","forest","2010",0.378436435720245
"207","HBR","herb",2010,"Oxalic","0","1",0,28,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,79.4,16.8,3.8,5.19,0.36,0.63,1.24,5,10,0.5746,24.58,186.1,"HBR","herb","2010",-0.462035459596559
"208","HBR","forest",2010,"Oxalic","0","1",0,28,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,93.2,4,2.8,15.53,0.84,7.16,15.93,4.18,66.07,1.8601,55.36,500.86,"HBR","forest","2010",1.96850998097255
"209","HETF","herb",2010,"Oxalic","0","1",0,28,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,95.4,0.8,3.8,10.4,0.7,0.55,1.53,5.79,1.62,1.3132,49,161.34,"HETF","herb","2010",-0.59783700075562
"210","HETF","forest",2010,"Oxalic","0","1",0,28,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,73.4,23.8,2.8,15.02,1.12,3.49,3.52,4.38,41.69,2.1481,56.98,465.68,"HETF","forest","2010",1.24990173621434
"211","HFR","herb",2010,"Oxalic","0","1",0,28,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,65.2,28.8,6,2.81,0.22,0.32,1.04,7.42,0.04,0.392,21.13,46.06,"HFR","herb","2010",-1.13943428318836
"212","HFR","forest",2010,"Oxalic","0","1",0,28,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,NA,NA,NA,20.83,1.04,13.39,31.81,4.04,91.2,2.7487,56.11,494.13,"HFR","forest","2010",2.59450815970308
"213","KBS","herb",2010,"Oxalic","0","1",0,28,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,38.2,52,9.8,3.44,0.29,1.04,2.09,6.31,0.49,0.5357,20.37,174.83,"KBS","herb","2010",0.0392207131532813
"214","KBS","forest",2010,"Oxalic","0","1",0,28,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,59.2,33.6,7.2,2.87,0.19,0.59,1.24,5.84,1.45,0.4418,16.61,71.88,"KBS","forest","2010",-0.527632742082372
"215","KNZ","herb",2010,"Oxalic","0","1",0,28,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,18.4,49.8,31.8,3.05,0.27,0.49,1.9,7.13,0.07,0.4988,22.93,84.98,"KNZ","herb","2010",-0.713349887877465
"216","KNZ","forest",2010,"Oxalic","0","1",0,28,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,64.2,23.2,12.6,10.46,0.82,0.8,3.28,8.13,0.01,0.5813,27.05,245,"KNZ","forest","2010",-0.22314355131421
"217","LUQ","herb",2010,"Oxalic","0","1",0,28,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,26.6,31.4,42,4.58,0.38,0.49,1.07,5.13,7.41,1.123,38.96,77.72,"LUQ","herb","2010",-0.713349887877465
"218","LUQ","forest",2010,"Oxalic","0","1",0,28,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,24,31.8,44.2,6.1,0.45,0.58,1.89,4.97,10.72,1.5935,44.58,146.04,"LUQ","forest","2010",-0.544727175441672
"219","NWT","herb",2010,"Oxalic","0","1",0,28,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,62,31.6,6.4,8.16,0.71,0.98,1.17,5.21,6.17,0.8897,33.02,204.98,"NWT","herb","2010",-0.0202027073175195
"220","NWT","forest",2010,"Oxalic","0","1",0,28,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,46.8,38,15.2,14.2,0.89,10.99,16.68,5.16,6.92,1.4333,25.06,228.75,"NWT","forest","2010",2.39698576841553
"221","AND","herb",2010,"Glycine","0","0",1,28,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,71.8,26.8,1.4,10.1,0.77,1.48,1.83,5.46,3.47,0.9546,40.6,223.61,"AND","herb","2010",0.392042087776024
"222","AND","forest",2010,"Glycine","0","0",1,28,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,79.8,18.2,1.8,12.58,0.47,1.83,2.05,5.36,4.37,1.3935,45.05,272.04,"AND","forest","2010",0.60431596685333
"223","BNZ","herb",2010,"Glycine","0","0",1,28,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,NA,NA,NA,10.18,0.64,1.68,2.43,5.56,2.75,1.0536,35.23,379.03,"BNZ","herb","2010",0.518793793415168
"224","BNZ","forest",2010,"Glycine","0","0",1,28,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,23.8,68.4,7.8,5.16,0.31,3.83,4.41,5.8,1.58,0.6343,17.75,123.73,"BNZ","forest","2010",1.34286480319255
"225","CDR","herb",2010,"Glycine","0","0",1,28,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,93.8,5.6,0.6,0.88,0.08,0.3,0.58,6.02,0.95,0.1758,5.3,17.99,"CDR","herb","2010",-1.20397280432594
"226","CDR","forest",2010,"Glycine","0","0",1,28,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,91.4,5.8,2.8,1.9,0.14,0.46,0.73,4.86,13.8,0.2672,10.8,49.09,"CDR","forest","2010",-0.776528789498996
"227","CWT","herb",2010,"Glycine","0","0",1,28,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,71.2,25,3.8,2.58,0.2,0.53,1.16,5.49,3.24,0.5895,28.76,103.07,"CWT","herb","2010",-0.63487827243597
"228","CWT","forest",2010,"Glycine","0","0",1,28,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,63.8,26.4,9.8,7.61,0.37,1.56,2.13,4.63,23.44,1.1632,37.16,207.06,"CWT","forest","2010",0.444685821261446
"229","HBR","herb",2010,"Glycine","0","0",1,28,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,79.4,16.8,3.8,5.19,0.36,0.86,1.24,5,10,0.5746,24.58,186.1,"HBR","herb","2010",-0.150822889734584
"230","HBR","forest",2010,"Glycine","0","0",1,28,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,93.2,4,2.8,15.53,0.84,3.02,15.93,4.18,66.07,1.8601,55.36,500.86,"HBR","forest","2010",1.10525683138678
"231","HETF","herb",2010,"Glycine","0","0",1,28,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,95.4,0.8,3.8,10.4,0.7,0.48,1.53,5.79,1.62,1.3132,49,161.34,"HETF","herb","2010",-0.7339691750802
"232","HETF","forest",2010,"Glycine","0","0",1,28,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,73.4,23.8,2.8,15.02,1.12,2.39,3.52,4.38,41.69,2.1481,56.98,465.68,"HETF","forest","2010",0.871293365943419
"233","HFR","herb",2010,"Glycine","0","0",1,28,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,65.2,28.8,6,2.81,0.22,0.57,1.04,7.42,0.04,0.392,21.13,46.06,"HFR","herb","2010",-0.562118918153541
"234","HFR","forest",2010,"Glycine","0","0",1,28,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,NA,NA,NA,20.83,1.04,6.02,31.81,4.04,91.2,2.7487,56.11,494.13,"HFR","forest","2010",1.79508725932073
"235","KBS","herb",2010,"Glycine","0","0",1,28,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,38.2,52,9.8,3.44,0.29,1.64,2.09,6.31,0.49,0.5357,20.37,174.83,"KBS","herb","2010",0.494696241836107
"236","KBS","forest",2010,"Glycine","0","0",1,28,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,59.2,33.6,7.2,2.87,0.19,1.21,1.24,5.84,1.45,0.4418,16.61,71.88,"KBS","forest","2010",0.19062035960865
"237","KNZ","herb",2010,"Glycine","0","0",1,28,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,18.4,49.8,31.8,3.05,0.27,0.64,1.9,7.13,0.07,0.4988,22.93,84.98,"KNZ","herb","2010",-0.446287102628419
"238","KNZ","forest",2010,"Glycine","0","0",1,28,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,64.2,23.2,12.6,10.46,0.82,2.13,3.28,8.13,0.01,0.5813,27.05,245,"KNZ","forest","2010",0.756121979721334
"239","LUQ","herb",2010,"Glycine","0","0",1,28,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,26.6,31.4,42,4.58,0.38,0.96,1.07,5.13,7.41,1.123,38.96,77.72,"LUQ","herb","2010",-0.0408219945202552
"240","LUQ","forest",2010,"Glycine","0","0",1,28,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,24,31.8,44.2,6.1,0.45,1.04,1.89,4.97,10.72,1.5935,44.58,146.04,"LUQ","forest","2010",0.0392207131532813
"241","NWT","herb",2010,"Glycine","0","0",1,28,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,62,31.6,6.4,8.16,0.71,0.72,1.17,5.21,6.17,0.8897,33.02,204.98,"NWT","herb","2010",-0.328504066972036
"242","NWT","forest",2010,"Glycine","0","0",1,28,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,46.8,38,15.2,14.2,0.89,11.92,16.68,5.16,6.92,1.4333,25.06,228.75,"NWT","forest","2010",2.4782176616372
"265","AND","herb",2011,"Glucose","1","0",0,12,44.21,-122.26,"temp",8.5,2257,9.3,1768,6.5,8.4,10.8,71.8,26.8,1.4,10.1,0.77,0.65,2.61,5.22,6.03,1.3234,39.51,199.75,"AND","herb","2011",-0.430782916092454
"266","AND","forest",2011,"Glucose","1","0",0,12,44.21,-122.26,"temp",8.5,2257,9.3,1768,6.5,8.4,10.8,79.8,18.2,1.8,12.58,0.47,0.83,3.1,4.77,16.98,2.0783,50.34,236.37,"AND","forest","2011",-0.186329578191493
"267","BNZ","herb",2011,"Glucose","1","0",0,12,64.85,-147.84,"bor",-2.94,269,-2,324,7.9,12.3,14.5,NA,NA,NA,10.18,0.64,0.21,1.04,4.89,12.88,0.6576,22.41,42.3,"BNZ","herb","2011",-1.56064774826467
"268","BNZ","forest",2011,"Glucose","1","0",0,12,64.85,-147.84,"bor",-2.94,269,-2,324,7.9,12.3,14.5,23.8,68.4,7.8,5.16,0.31,0.54,2.9,5.49,3.24,0.8121,13.32,46.96,"BNZ","forest","2011",-0.616186139423817
"269","CDR","herb",2011,"Glucose","1","0",0,12,45.4,-93.2,"temp",6.7,269,6.4,803,19.9,17.9,14.9,93.8,5.6,0.6,0.88,0.08,0.2,0.71,6.05,0.89,0.2938,5.12,15.95,"CDR","herb","2011",-1.6094379124341
"270","CDR","forest",2011,"Glucose","1","0",0,12,45.4,-93.2,"temp",6.7,269,6.4,803,19.9,17.9,14.9,91.4,5.8,2.8,1.9,0.14,0.33,1.23,4.56,27.54,0.1193,6.57,47.33,"CDR","forest","2011",-1.10866262452161
"271","CWT","herb",2011,"Glucose","1","0",0,12,35,-83.5,"temp",13.3,1000,13,1752,21.1,23,24,71.2,25,3.8,2.58,0.2,0.43,2.04,5.47,3.39,0.6132,21.03,89.11,"CWT","herb","2011",-0.843970070294529
"272","CWT","forest",2011,"Glucose","1","0",0,12,35,-83.5,"temp",13.3,1000,13,1752,21.1,23,24,63.8,26.4,9.8,7.61,0.37,0.73,2.57,4.85,14.13,0.8537,27.86,89.33,"CWT","forest","2011",-0.3147107448397
"273","HBR","herb",2011,"Glucose","1","0",0,12,43.94,-71.75,"temp",5.6,1400,6.8,1074,19.2,18.2,16.7,79.4,16.8,3.8,5.19,0.36,0.47,2.06,4.41,38.9,0.9379,31.49,146.13,"HBR","herb","2011",-0.755022584278033
"274","HBR","forest",2011,"Glucose","1","0",0,12,43.94,-71.75,"temp",5.6,1400,6.8,1074,19.2,18.2,16.7,93.2,4,2.8,15.53,0.84,0.72,3.63,4.31,48.98,1.4838,47.97,315.15,"HBR","forest","2011",-0.328504066972036
"275","HETF","herb",2011,"Glucose","1","0",0,12,19.81,-155.26,"trop",15,1618,21.7,3720,22.4,22.6,22.7,95.4,0.8,3.8,10.4,0.7,0.17,1.94,5.54,2.88,1.565,47.26,92.87,"HETF","herb","2011",-1.77195684193188
